assay_chembl_id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,active,target_name
CHEMBL981002,Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4cccc(C(C)(C)C)c4)cc3)ccnc21,CHEMBL489823,7.22,IC50,nM,60.0,CHEMBL5145,IC50,uM,0.06,1,BRAF
CHEMBL672227,O=C(/C=C/c1ccccc1)NCCCCN1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,CHEMBL55276,6.5,Ki,nM,316.23,CHEMBL217,Log Ki,,-6.5,1,DRD2
CHEMBL863825,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,CHEMBL101253,7.68,IC50,nM,21.0,CHEMBL279,IC50,uM,0.021,1,VEGFR2
CHEMBL1780874,Cn1cc(-c2ccc3c(O)cccc3c2)c(-c2ccncc2)n1,CHEMBL1780161,8.85,IC50,nM,1.4,CHEMBL5145,IC50,nM,1.4,1,BRAF
CHEMBL672182,CCOc1ccccc1N1CCN(CCCCc2cc(-c3ccccc3)no2)CC1.Cl,CHEMBL542809,6.47,Ki,nM,341.0,CHEMBL217,Ki,nM,341.0,1,DRD2
CHEMBL1828155,CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OC,CHEMBL1824288,7.17,Kd,nM,67.0,CHEMBL5145,Kd,nM,67.0,1,BRAF
CHEMBL853149,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,CHEMBL204420,7.52,IC50,nM,30.0,CHEMBL203,IC50,uM,0.03,1,EGFR
CHEMBL1827040,CCN(C)S(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]ccc3c2)c1F,CHEMBL1822108,6.4,IC50,nM,400.0,CHEMBL5145,IC50,nM,400.0,1,BRAF
CHEMBL930118,Nc1n[nH]c2nccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,CHEMBL255955,8.59,IC50,nM,2.6,CHEMBL279,IC50,nM,2.6,1,VEGFR2
CHEMBL866816,CONC(=O)c1cccc(CSc2cnc(Nc3ccccn3)s2)c1,CHEMBL379661,7.13,IC50,nM,74.0,CHEMBL279,IC50,nM,74.0,1,VEGFR2
CHEMBL676766,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,CHEMBL258805,6.89,IC50,nM,130.0,CHEMBL279,IC50,uM,0.13,1,VEGFR2
